Bulk_2	X1_C01	X1_C02	X1_C03	X1_C08	X1_C15	X1_C17	X1_C18	X1_C19	X1_C22	X1_C23	X1_C27	X1_C29	X1_C30	X1_C31	X1_C34	X1_C37	X1_C38	X1_C40	X1_C41	X1_C42	X1_C49	X1_C51	X1_C61	X1_C65	X1_C67	X1_C75	X1_C81	X2_C03	X2_C05	X2_C06	X2_C07	X2_C10	X2_C14	X2_C15	X2_C16	X2_C18	X2_C19	X2_C21	X2_C22	X2_C23	X2_C25	X2_C27	X2_C29	X2_C34	X2_C42	X2_C49	X2_C51	X2_C53	X2_C55	X2_C56	X2_C57	X2_C59	X2_C63	X2_C64	X2_C67	X2_C69	X2_C70	X2_C71	X2_C72	X2_C73	X2_C74	X2_C75	X2_C79	X2_C86	X2_C87	X2_C95
11262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11314	1.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11343	51.49	0	281.39	8.78	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	177.68	0	0	0	0	0	0	0	0	89.79	0	0	0	27.8	0	0	0	0	0	49.21	0	0	0	0	0	9.43	0	0	0	0	216.37	0	0	0	0	0	0	0	0	0	9.97	0	0	0	0
114897	3.56	0	4.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07	0	0	0	0	0	0	1.47	0	0	6.78	0	0	0	0	0	0	0	2.51	0	0	0	0	0	0	0	0	0.43	0	0	0	0	4.57	0	0	0	0	0	0	0	0	0	0	0	0	0
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06	0	8.23	0	0	0	0	0	0
1152	18.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.81	61.03	2.76	0	0	0	220.67	0	0	0	0	0	0	0	0	673.34	0	0	222.38	0	0	519.6	0	0	0	0	204.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.96	0	320.18	0	0	7.04
1160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.41	0	0	0	0	0	0	0	0
1191	4663.62	236.92	21.63	2907.94	16613.24	8694.91	63562.17	2267.15	7338.13	2438.64	3355.01	3483.78	4982.08	28.66	3794.12	158.13	12979.04	2684.71	1117.6	208.63	6.64	14.28	28.42	1340.11	0	1830.96	340.42	0	43.28	3083.56	5720.06	0	1132.25	13894.4	0	8050.78	13087.11	0	203.89	1676.83	8879.03	559.08	590.35	327.25	869.62	4737.83	786.82	3769.51	0	697.72	163.03	494.09	2382.5	2016.99	145.11	1172.54	3755.01	5670.16	2959.3	200.92	1388.14	1248.73	3655.36	2271.2	7466.14	9578.75	2580.81
1230	2.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1278	2898.47	0	3087.21	0	1.41	1172.9	1.71	0	0	31.45	42.65	152.36	13.41	7306.2	0	0	0	0.23	0	8746.24	0	4184.7	1305.34	0.3	2032.01	1516.86	0	0	6394.93	854.7	0	2605.36	3284.2	0.48	4.65	1.6	0.51	2259.57	562.69	6956.55	7.82	9.56	2452.99	7.22	2.92	116.68	346.22	0.5	1475.63	2.63	6911.83	0	45.81	5297.79	3117.29	8728.79	1.99	0.54	9459.44	15.55	68.04	54.52	135.01	8.71	3.24	142.93	3.16
1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1281	3829.15	0	622.69	3.94	0.25	585.06	0	0	0	113.76	1.62	273.77	3.74	3115.72	0	0	0	0.63	0.73	5363.49	0.67	8271.59	459.98	0	3649.68	930.48	0.64	0.61	4890.75	132.92	0	1565.61	3407.66	2.73	0	0	0	1864.53	229.8	4956.47	0	0	1137.11	17.98	109.72	109.9	71.37	0	1591.61	1.41	12539.5	0.57	1.07	2648.97	6970.63	10147.66	8.58	1.54	2209.58	62.65	284.14	243.88	572.79	7.87	7.44	31.28	0
1282	45.73	0	318.13	0	0	0	0	0	0	0	0.47	124.7	0	188.21	0	0	0	0.19	0	0	244.65	607.25	543.34	0	0	0.7	0	0	4.17	0.26	0	244.64	0	0	86.36	0	0	1782.15	2.82	0	0	4.44	0	0	0	0	14.23	137.66	0	0	1.04	1.97	144.98	0	0	1.38	0	0	0	0	0	3.36	0	0	0	147.26	0
1288	0	0	0	22.41	0	0	27.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	0	0	0	0	0	0	0
1289	20.04	0	6.47	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	8.01	62.67	0	30.27	5.63	0	0	170.42	4.32	0	26.74	29.33	0	0	0	0	17.51	0	45.47	0	0	2.84	0	0	0.89	0	1.26	0.76	0	101.92	0	0	64.52	88.92	178.96	0	0	9.29	0	0	0.23	0	0	0.07	0.6	0
