Bulk_2	1_C01	1_C02	1_C03	1_C08	1_C15	1_C17	1_C18	1_C19	1_C22	1_C23	1_C27	1_C29	1_C30	1_C31	1_C34	1_C37	1_C38	1_C40	1_C41	1_C42	1_C49	1_C51	1_C61	1_C65	1_C67	1_C75	1_C81	2_C03	2_C05	2_C06	2_C07	2_C10	2_C14	2_C15	2_C16	2_C18	2_C19	2_C21	2_C22	2_C23	2_C25	2_C27	2_C29	2_C34	2_C42	2_C49	2_C51	2_C53	2_C55	2_C56	2_C57	2_C59	2_C63	2_C64	2_C67	2_C69	2_C70	2_C71	2_C72	2_C73	2_C74	2_C75	2_C79	2_C86	2_C87	2_C95
1288	0	0	0	22.41	0	0	27.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	0	0	0	0	0	0	0
55930	0	0	0	48.14	0	0	0.22	0	0	0	1.32	9.99	0	0	0	0	0.31	0	9.22	0	5.41	0	0	6.17	0	0	7.76	0	0	0	0	0	0	30.84	0	0	11.13	0	0	0	3.52	0	0	0	176.19	7.15	0	3.08	0	14.66	0	9.2	58.69	0	0	0	0	1.89	0	0	10.21	92.23	0.34	0	0	0	3.17
2335	318.12	955.5	520.15	0	0.38	281.42	0.98	0	0	0	0	282.38	0.99	1348.71	0	0	0	0	0	609.31	0	381.97	5307.87	0	2087.87	2265.5	0	0	964.82	21.06	0	4990.28	791.7	0	0	0	0	2434.45	54.92	1599.98	8.07	0	370.41	2.44	7.94	174	28.92	0	562.85	0	1375.49	0	2498.79	418.2	53.2	2039.93	0	0	567.84	0	16.01	0	19.45	0	0	1024.65	0
1318	1.92	0	0	0	0	3.22	0	0	0	0	3.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.71	0	0	0	0	0	124.57	0	0	0	0	0	0	332.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0
3925	1267.23	22.72	0	702.22	14492.52	2888.16	1900.08	4095.74	0	27.06	11678.75	934.31	397.21	0	2407.97	38.73	23.3	5581.37	82.76	721.17	0	0	746.95	107.01	0	0	56.67	2604.55	1.98	1231.53	676.88	948.75	169.72	370.27	0	1049.22	910.68	2645.62	4.96	26.26	363.48	545.55	2226.19	0	950.28	2081.61	328.84	972.67	0	6129.3	0	2752.07	0	0	75.13	98.47	198.78	236.87	4653	6758.28	6791.14	1262.51	1327.34	233.11	2215.67	40.03	2689.06
1295	104.15	0	0	0	0	7.89	0	0	0	0	0	0	0	435.95	0	0	0	0	0	0.83	0	0	0	0	575.73	0	0	0	9.61	0	0	0	0	0	0	0	0	0	0	0	0	0	79.14	0	0	2.63	97.45	0	215.4	0	263.26	0	14.56	0	28.41	27.66	0	0	32.58	0	0.61	0	0	0	0.21	0	0
7216	29.71	0	16.77	0	0	32.23	0	114.69	5.19	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52	0	1288.56	51.48	3.86	0	0	1.55	0	0.46	0	0	0	83.75	451.37	0	0	9.92	0	0	7.55	0	9.42	26.42	114.48	0	297.54	919.73	0	0	0	0	0	96.37	23.58	0	0	0	14.32	0	0	0	0	0	0
4162	59.19	0	80.87	0	0	84.37	0	0	0	2.34	0	0.56	0	0.77	0	0	0	0	0	0	74.97	4.85	236.2	0	0	0	0	0	1.71	16.79	0	108.71	0	3.26	200.79	0	0.71	434.69	0	0	0	0	0	0	0	0	0	23.33	0	0	0	0	299.11	0	0	0	3.36	0	0	0	0	323.32	2.22	0	0	8.41	0
10158	5.03	0	0	0	0	0	0	57.8	0	262.76	6.29	0	0	0	0	0	0	0	0	0	0	0	4.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55240	1.6	0	0	0	0	0	37.38	0	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.5	0	0	0	0	0	0
23022	21.75	0	5.65	0.68	0	87.59	33.29	0	0	0	0	0	0	145.9	0	0	0	0	0	61.34	0	112.59	2.25	0.48	10.36	1217.9	0	0	205.6	0	0	0	0	0	0	0	0	566.6	0	9.85	0	0	37.98	0	0	10.21	0	15.12	0	0	0	0	348.11	919.02	290.98	320.94	0	0	106.86	0	0	0	46.58	0	0	0	0
65244	37.88	0	0	0	41.23	0	0	249.36	0	0	54.58	0	37.14	0.81	0	0	0	0	0	205.84	457.49	0	0	307.19	0	0	0	0	0	0	0	0	138.05	0	627.67	0	0	0.58	0	123.94	14.86	0	0	0	0	196.21	0	0	1363.8	0	0	12.17	0	0	0	22.96	138.33	0	0	0	0	0	0	143.92	0	0	0
10635	68.52	0	0	0	0	5.05	5.89	4.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201.23	0	0	0	0	0	217.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303.8	0	0	0	0	0	0	0
4323	14.51	0	0	9.1	0	0	0	0	0	0	0	0	0	10.86	0	0	0	0	0	26.1	0	0	4.25	0	0	0	1.93	0	100.39	0	0	0	0	0	0	0	0	0	0	16.71	0	0	16.18	0	0	0	0	0	6.51	0	0	0	0	0.81	2.38	34.67	0	0	0	0	0.94	0	0	0	0	0	0
3627	168.59	0	0	0	0	0	35.47	0	0	0	0	545.84	0	0	0	0	0	0	0	0	0	0	3671.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02	0	0	0	0	0
54020	0.52	0	0	0	0	0	0	56.88	0	0	0	0	1.01	28.13	0	0	0	0	18.41	0	0	0	0	5.57	0	0	0	0	0	0	0	0	0	0	0	0	0.76	0	1.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.61	0	0
1890	7.36	0	0	0	10.15	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0	1.27	0	0	0	2.61	0	1.2	0	0	0	0	0	0	0	0	0	0	0	69.25	0	1.22	0	0	0	0	0	0	0	0	0	0	49.79	0	0	4.66	0	0	0	0	0	0	0	0	0	0	0	0	0
4921	10.79	0	1.9	0	0	0.86	0	0	0	0	0	0	0	9.63	0	0	0	0	0	20.09	0	0	0	0	10.32	115.44	0	0	0.88	0.65	0	6.78	60.65	0	0	0	0	7.15	55.34	222.56	0	0	8.04	0	0	0	21.42	0	0	0	0	0	0	4.24	359.56	86.59	0	0	46.87	13.09	0	0	0	0	0	4.52	0
8564	0	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0	5.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9961	91.38	0	0	0	0	0	0	0	3.03	0	0	0	0	0	0	0	0	0	2.04	97.27	0	0	0	0	0	9.94	0	0	0	0	0	0	8.22	0	0	0	0	0	0	10.09	134.2	0	0	0	0	0	13.76	0	15.83	0	0	0	0	90.35	0.78	6.61	49.81	0	4.94	0	0	0	0.86	14.64	0	0	0
3903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4430	40.59	0	88.52	0	0	0	0	0	0	131.82	0	227.54	0	0	0	0.55	0	0	0	1.53	0	0	70.15	0	0	0	0	0	142.34	0	0	51.14	0	0	0	0	0	0	8.44	4.69	30.74	0	0	0	0	0	1.98	1.07	0	6.85	0	0	0	0	99.91	373.36	0	0	31.21	0	0	19.67	0	0	0	448.13	0
1490	83.91	0	0	0	0	45.3	273.92	0	0	15.88	0	55.36	0	890.34	0	0	0	52.44	0	0	0	0	361.83	0	216.57	331.13	140.61	0	2.51	0	0	1251.19	10.26	0	315.19	0	0	134.77	0	11.6	0	0	581.9	0	0	0	0	181.21	0	1.22	1261.57	0	85.01	0	188.83	20.69	0	0	1594.04	1.54	43.22	90.19	0	0	1.4	352.37	194.02
